pal	tipo	sil	cons	modo	rep	vog	dur	norm
abismado	fon	pre	bs	PF	1	s	61	-1.368
abismado	fon	pre	bs	PF	2	s	62	-1.316
abismado	fon	pre	bs	PF	3	s	57	-1.579
abstrato	epe	pre	bs	PF	1	s	36	-2.684
abstrato	epe	pre	bs	PF	3	s	45	-2.211
abstrato	epe	pre	bs	PF	2	n	NA	NA
acne	epe	pos	kn	PN	3	s	30	-3
acne	epe	pos	kn	PN	1	n	NA	NA
acne	epe	pos	kn	PN	2	n	NA	NA
adivinho	fon	pre	dv	PF	1	s	53	-1.789
adivinho	fon	pre	dv	PF	2	s	62	-1.316
adivinho	fon	pre	dv	PF	3	s	72	-0.789
advindo	epe	pre	dv	PF	1	s	55	-1.684
advindo	epe	pre	dv	PF	2	s	43	-2.316
advindo	epe	pre	dv	PF	3	s	50	-1.947
africa	fon	pos	fk	FP	1	s	43	-2.316
africa	fon	pos	fk	FP	2	s	33	-2.842
africa	fon	pos	fk	FP	3	s	25	-3.263
afta	epe	pos	ft	FP	1	n	NA	NA
afta	epe	pos	ft	FP	2	n	NA	NA
afta	epe	pos	ft	FP	3	n	NA	NA
amnesia	epe	pre	mn	NN	1	s	42	-2.368
amnesia	epe	pre	mn	NN	2	s	32	-2.895
amnesia	epe	pre	mn	NN	3	s	26	-3.211
apice	fon	pos	ps	PF	1	s	46	-2.158
apice	fon	pos	ps	PF	2	s	24	-3.316
apice	fon	pos	ps	PF	3	s	26	-3.211
apto	epe	pos	pt	PP	1	n	NA	NA
apto	epe	pos	pt	PP	2	n	NA	NA
apto	epe	pos	pt	PP	3	n	NA	NA
aquitania	fon	pre	kt	PP	2	s	39	-2.526
aquitania	fon	pre	kt	PP	1	n	NA	NA
aquitania	fon	pre	kt	PP	3	n	NA	NA
epsilon	epe	pos	ps	PF	1	s	39	-2.526
epsilon	epe	pos	ps	PF	3	s	26	-3.211
epsilon	epe	pos	ps	PF	2	n	NA	NA
habito	fon	pos	bt	PP	1	s	36	-2.684
habito	fon	pos	bt	PP	2	s	27	-3.158
lactante	epe	pre	kt	PP	1	n	NA	NA
lactante	epe	pre	kt	PP	2	n	NA	NA
lactante	epe	pre	kt	PP	3	n	NA	NA
maquina	fon	pos	kn	PN	1	n	NA	NA
maquina	fon	pos	kn	PN	2	n	NA	NA
maquina	fon	pos	kn	PN	3	n	NA	NA
minerio	fon	pre	mn	NN	1	s	55	-1.684
minerio	fon	pre	mn	NN	2	s	75	-0.632
minerio	fon	pre	mn	NN	3	s	51	-1.895
obito	fon	pos	bt	PP	1	s	50	-1.947
obito	fon	pos	bt	PP	2	s	33	-2.842
obito	fon	pos	bt	PP	3	n	NA	NA
octeto	epe	pre	kt	PP	1	n	NA	NA
octeto	epe	pre	kt	PP	2	n	NA	NA
octeto	epe	pre	kt	PP	3	n	NA	NA
okinawa	fon	pre	kn	PN	2	s	25	-3.263
okinawa	fon	pre	kn	PN	3	s	23	-3.368
okinawa	fon	pre	kn	PN	1	n	NA	NA
opto	epe	pos	pt	PP	1	n	NA	NA
opto	epe	pos	pt	PP	2	n	NA	NA
opto	epe	pos	pt	PP	3	n	NA	NA
pinel	fon	pre	pn	PN	1	s	63	-1.263
pinel	fon	pre	pn	PN	2	s	53	-1.789
pinel	fon	pre	pn	PN	3	s	54	-1.737
pneu	epe	pre	pn	PN	1	s	21	-3.474
pneu	epe	pre	pn	PN	2	s	38	-2.579
pneu	epe	pre	pn	PN	3	s	54	-1.737
ritmo	epe	pos	tm	PN	1	n	NA	NA
ritmo	epe	pos	tm	PN	2	n	NA	NA
ritmo	epe	pos	tm	PN	3	n	NA	NA
vitima	fon	pos	tm	PN	1	s	41	-2.421
vitima	fon	pos	tm	PN	3	s	29	-3.053
vitima	fon	pos	tm	PN	2	n	NA	NA
