ábaco	á.ba.co	[á].ba.co
ábacos	á.ba.cos	[á].ba.cos
ábidos	á.bi.dos	[á].bi.dos
abióticas	a.bi.ó.ti.cas	a.bi.[ó].ti.cas
abiótico	a.bi.ó.ti.co	a.bi.[ó].ti.co
abióticos	a.bi.ó.ti.cos	a.bi.[ó].ti.cos
abóbada	a.bó.ba.da	a.[bó].ba.da
abóbadas	a.bó.ba.das	a.[bó].ba.das
abóboda	a.bó.bo.da	a.[bó].bo.da
abóbora	a.bó.bo.ra	a.[bó].bo.ra
aborígene	a.bo.rí.ge.ne	a.bo.[rí].ge.ne
aborígenes	a.bo.rí.ge.nes	a.bo.[rí].ge.nes
aborígines	a.bo.rí.gi.nes	a.bo.[rí].gi.nes
abrasímetro	a.bra.sí.me.tro	a.bra.[sí].me.tro
abúlico	a.bú.li.co	a.[bú].li.co
acabávamos	a.ca.bá.va.mos	a.ca.[bá].va.mos
acadêmica	a.ca.dê.mi.ca	a.ca.[dê].mi.ca
acadêmicas	a.ca.dê.mi.cas	a.ca.[dê].mi.cas
acadêmico	a.ca.dê.mi.co	a.ca.[dê].mi.co
acadêmicos	a.ca.dê.mi.cos	a.ca.[dê].mi.cos
ácaro	á.ca.ro	[á].ca.ro
ácaros	á.ca.ros	[á].ca.ros
acéfalas	a.cé.fa.las	a.[cé].fa.las
aceitaríamos	a.cei.ta.rí.a.mos	a.cei.ta.[rí].a.mos
acelerômetro	a.ce.le.rô.me.tro	a.ce.le.[rô].me.tro
acelerômetros	a.ce.le.rô.me.tros	a.ce.le.[rô].me.tros
acético	a.cé.ti.co	a.[cé].ti.co
acetilmurâmico	a.ce.til.mu.râ.mi.co	a.ce.til.mu.[râ].mi.co
achávamos	a.chá.va.mos	a.[chá].va.mos
acíclico	a.cí.cli.co	a.[cí].cli.co
acíclicos	a.cí.cli.cos	a.[cí].cli.cos
acículas	a.cí.cu.las	a.[cí].cu.las
ácida	á.ci.da	[á].ci.da
ácidas	á.ci.das	[á].ci.das
acidentogênicos	a.ci.den.to.gê.ni.cos	a.ci.den.to.[gê].ni.cos
ácido	á.ci.do	[á].ci.do
acidólise	a.ci.dó.li.se	a.ci.[dó].li.se
ácidos	á.ci.dos	[á].ci.dos
acízelo	a.cí.ze.lo	a.[cí].ze.lo
aclamadíssimo	a.cla.ma.dí.ssi.mo	a.cla.ma.[dí].ssi.mo
acreditávamos	a.cre.di.tá.va.mos	a.cre.di.[tá].va.mos
acrescentaríamos	a.cres.cen.ta.rí.a.mos	a.cres.cen.ta.[rí].a.mos
acréscimo	a.crés.ci.mo	a.[crés].ci.mo
acréscimos	a.crés.ci.mos	a.[crés].ci.mos
acrílica	a.crí.li.ca	a.[crí].li.ca
acrílico	a.crí.li.co	a.[crí].li.co
acrílicos	a.crí.li.cos	a.[crí].li.cos
acrítica	a.crí.ti.ca	a.[crí].ti.ca
acrítico	a.crí.ti.co	a.[crí].ti.co
acrobática	a.cro.bá.ti.ca	a.cro.[bá].ti.ca
acrobático	a.cro.bá.ti.co	a.cro.[bá].ti.co
acromática	a.cro.má.ti.ca	a.cro.[má].ti.ca
acrônimo	a.crô.ni.mo	a.[crô].ni.mo
acrônimos	a.crô.ni.mos	a.[crô].ni.mos
acrópole	a.cró.po.le	a.[cró].po.le
açúcares	a.çú.ca.res	a.[çú].ca.res
acumulávamos	a.cu.mu.lá.va.mos	a.cu.mu.[lá].va.mos
acúmulo	a.cú.mu.lo	a.[cú].mu.lo
acúmulos	a.cú.mu.los	a.[cú].mu.los
acústica	a.cús.ti.ca	a.[cús].ti.ca
acústicas	a.cús.ti.cas	a.[cús].ti.cas
acústico	a.cús.ti.co	a.[cús].ti.co
acústicos	a.cús.ti.cos	a.[cús].ti.cos
adâmico	a.dâ.mi.co	a.[dâ].mi.co
adípico	a.dí.pi.co	a.[dí].pi.co
adipócitos	a.di.pó.ci.tos	a.di.[pó].ci.tos
admitíssemos	a.d.mi.tí.sse.mos	a.d.mi.[tí].sse.mos
adoraríamos	a.do.ra.rí.a.mos	a.do.ra.[rí].a.mos
adrenérgico	a.dre.nér.gi.co	a.dre.[nér].gi.co
adrenérgicos	a.dre.nér.gi.cos	a.dre.[nér].gi.cos
adriático	a.dri.á.ti.co	a.dri.[á].ti.co
adúltero	a.dúl.te.ro	a.[dúl].te.ro
aeróbica	a.e.ró.bi.ca	a.e.[ró].bi.ca
